unit_name,unit_code,parent_unit
02030601000000,Kantor Kementerian Agama Kabupaten Pesisir Selatan
02030601060000,Seksi Bimbingan Masyarakat Islam,1
02030601040000,Seksi Pendidikan Agama Islam,1
02030601030000,Seksi Pendidikan Diniyah dan Pondok Pesantren,1
02030601020000,Seksi Pendidikan Madrasah,1
02030601050000,Seksi Penyelenggaraan Haji dan Umrah,1
02030601910000,Penyelenggara Zakat dan Wakaf,1



02030622000000,KUA Kec. Air Pura,52
02030618000000,KUA Kec. Basa Ampek Balai Tapan,52
02030610000000,KUA Kec. Batang Kapas,52
02030611000000,KUA Kec. Bayang,52
02030612000000,KUA Kec. IV Jurai,52
02030621000000,KUA Kec. IV Nagari Bayang Utara,52
02030613000000,KUA Kec. Koto XI Tarusan,52
02030614000000,KUA Kec. Lengayang,52
02030620000000,KUA Kec. Linggo Sari Baganti,52
02030619000000,KUA Kec. Lunang Silaut,52
02030615000000,KUA Kec. Pancungsoal,52
02030624000000,KUA Kec. Ranah Ampek Hulu Tapan,52
02030616000000,KUA Kec. Ranah Pesisir,52
02030623000000,KUA Kec. Silaut,52
02030617000000,KUA Kec. Sutera,52
02030627000000,MAN 1 Pesisir Selatan,1
02030626000000,MAN 2 Pesisir Selatan,1
02030625000000,MAN 3 Pesisir Selatan,1
02030628000000,MAN 4 Pesisir Selatan,1
02030663000000,MIN 01 Pesisir Selatan,1
02030659000000,MIN 02 Pesisir Selatan,1
02030660000000,MIN 03 Pesisir Selatan ,1
02030661000000,MIN 04 Pesisir Selatan,1
02030662000000,MIN 05 Pesisir Selatan,1
02030664000000,MIN 06 Pesisir Selatan,1
02030665000000,MIN 07 Pesisir Selatan,1
02030666000000,MIN 08 Pesisir Selatan,1
02030658000000,MIN 09 Pesisir Selatan,1
02030657000000,MIN 10 Pesisir Selatan,1
02030656000000,MIN 11 Pesisir Selatan,1
02030667000000,MIN 12 Pesisir Selatan,1
02030655000000,MIN 13 Pesisir Selatan,1
02030692000000,MIS dilingkungan Kabupaten Pesisir Selatan,1
02030641000000,MTsN 01 Pesisir Selatan,1
02030642000000,MTsN 02 Pesisir Selatan,1
02030643000000,MTsN 03 Pesisir Selatan ,1
02030645000000,MTsN 04 Pesisir Selatan,1
02030646000000,MTsN 05 Pesisir Selatan ,1
02030639000000,MTsN 06 Pesisir Selatan,1
02030640000000,MTsN 07 Pesisir Selatan,1
02030644000000,MTsN 08 Pesisir Selatan ,1
02030635000000,MTsN 09 Pesisir Selatan,1
02030636000000,MTsN 10 Pesisir Selatan,1
02030638000000,MTsN 11 Pesisir Selatan,1
02030637000000,MTsN 12 Pesisir Selatan,1
02030647000000,MTsN 13 Pesisir Selatan ,1
02030691000000,MTsS dilingkungan Kabupaten Pesisir Selatan,1
02030693000000,RA/BA dilingkungan Kabupaten Pesisir Selatan,1
02030696000000,SD Negeri dilingkungan Kabupaten Pesisir Selatan,1

02030695000000,SLTP Negeri dilingkungan Kabupaten Pesisir Selatan,1
02030601010000,Sub Bagian Tata Usaha,1
02030627010000,Urusan Tata Usaha MAN 1 Pesisir Selatan
02030626010000,Urusan Tata Usaha MAN 2 Pesisir Selatan
02030625010000,Urusan Tata Usaha MAN 3 Pesisir Selatan 
02030628010000,Urusan Tata Usaha MAN 4 Pesisir Selatan
02030641010000,Urusan Tata Usaha MTsN 01 Pesisir Selatan
02030642010000,Urusan Tata Usaha MTsN 02 Pesisir Selatan
02030643010000,Urusan Tata Usaha MTsN 03 Pesisir Selatan 
02030645010000,Urusan Tata Usaha MTsN 04 Pesisir Selatan
02030646010000,Urusan Tata Usaha MTsN 05 Pesisir Selatan 
02030639010000,Urusan Tata Usaha MTsN 06 Pesisir Selatan
02030640010000,Urusan Tata Usaha MTsN 07 Pesisir Selatan
02030644010000,Urusan Tata Usaha MTsN 08 Pesisir Selatan 
02030635010000,Urusan Tata Usaha MTsN 09 Pesisir Selatan
02030636010000,Urusan Tata Usaha MTsN 10 Pesisir Selatan
02030638010000,Urusan Tata Usaha MTsN 11 Pesisir Selatan
02030637010000,Urusan Tata Usaha MTsN 12 Pesisir Selatan
02030647010000,Urusan Tata Usaha MTsN 13 Pesisir Selatan 
,
