Cabang;Kategori;Jenis;Golongan
Fahm Al Qur'an;Beregu;Putra;Fahm Al Qur'an Beregu Putra
Fahm Al Qur'an;Beregu;Putri;Fahm Al Qur'an Beregu Putri
Hafalan Al Qur'an;1 Juz + Tilawah;Putra;Hafalan Al Qur'an 1 Juz + Tilawah Putra
Hafalan Al Qur'an;1 Juz + Tilawah;Putri;Hafalan Al Qur'an 1 Juz + Tilawah Putri
Hafalan Al Qur'an;1 Juz Non Tilawah;Putra;Hafalan Al Qur'an 1 Juz Non Tilawah Putra
Hafalan Al Qur'an;1 Juz Non Tilawah;Putri;Hafalan Al Qur'an 1 Juz Non Tilawah Putri
Hafalan Al Qur'an;10 Juz;Putra;Hafalan Al Qur'an 10 Juz Putra
Hafalan Al Qur'an;10 Juz;Putri;Hafalan Al Qur'an 10 Juz Putri
Hafalan Al Qur'an;20 Juz;Putra;Hafalan Al Qur'an 20 Juz Putra
Hafalan Al Qur'an;20 Juz;Putri;Hafalan Al Qur'an 20 Juz Putri
Hafalan Al Qur'an;30 Juz;Putra;Hafalan Al Qur'an 30 Juz Putra
Hafalan Al Qur'an;30 Juz;Putri;Hafalan Al Qur'an 30 Juz Putri
Hafalan Al Qur'an;5 Juz + Tilawah;Putra;Hafalan Al Qur'an 5 Juz + Tilawah Putra
Hafalan Al Qur'an;5 Juz + Tilawah;Putri;Hafalan Al Qur'an 5 Juz + Tilawah Putri
Hafalan Al Qur'an;5 Juz Non Tilawah;Putra;Hafalan Al Qur'an 5 Juz Non Tilawah Putra
Hafalan Al Qur'an;5 Juz Non Tilawah;Putri;Hafalan Al Qur'an 5 Juz Non Tilawah Putri
Karya Tulis Ilmiah Al Qur'an (KTIQ);Umum;Putra;Karya Tulis Ilmiah Al Qur'an (KTIQ) Umum Putra
Karya Tulis Ilmiah Al Qur'an (KTIQ);Umum;Putri;Karya Tulis Ilmiah Al Qur'an (KTIQ) Umum Putri
Karya Tulis Ilmiah Hadits (KTIH);Umum;Putra;Karya Tulis Ilmiah Hadits (KTIH) Umum Putra
Karya Tulis Ilmiah Hadits (KTIH);Umum;Putri;Karya Tulis Ilmiah Hadits (KTIH) Umum Putri
Khutbah Jum'at & Adzan;Khatib + Mu'adz?n;Putra;Khutbah Jum'at & Adzan Khatib + Mu'adz?n Putra
Kitab Standar;Umum;Putra;Kitab Standar Umum Putra
Kitab Standar;Umum;Putri;Kitab Standar Umum Putri
Musabaqah Hafalan Hadits Nabi;100 Hadits dengan Sanad;Putra;Musabaqah Hafalan Hadits Nabi 100 Hadits dengan Sanad Putra
Musabaqah Hafalan Hadits Nabi;100 Hadits dengan Sanad;Putri;Musabaqah Hafalan Hadits Nabi 100 Hadits dengan Sanad Putri
Musabaqah Hafalan Hadits Nabi;500 Hadits tanpa Sanad;Putra;Musabaqah Hafalan Hadits Nabi 500 Hadits tanpa Sanad Putra
Musabaqah Hafalan Hadits Nabi;500 Hadits tanpa Sanad;Putri;Musabaqah Hafalan Hadits Nabi 500 Hadits tanpa Sanad Putri
Qiraat Al Qur'an;Mujawwad Dewasa;Putra;Qiraat Al Qur'an Mujawwad Dewasa Putra
Qiraat Al Qur'an;Mujawwad Dewasa;Putri;Qiraat Al Qur'an Mujawwad Dewasa Putri
